CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"STOKES, JARNELL",,,,,408,,,
"STOUDEMIRE, AMAR'E",,,,,409,,,
"STUCKEY, RODNEY",,,,,410,,,
"SULLINGER, JARED",,,,,411,,,
"TAYLOR, JEFF",,,,,412,,,
"TEAGUE, JEFF",,,,,413,,,
"TELETOVIC, MIRZA",,,,,414,,,
"TELFAIR, SEBASTIAN",,,,,415,,,
"TEMPLE, GARRETT",,,,,416,,,
"TERRY, JASON",,,,,417,,,
"THOMAS, ISAIAH",,,,,418,,,
"THOMAS, LANCE",,,,,419,,,
"THOMAS, MALCOLM",,,,,420,,,
"THOMPSON, HOLLIS",,,,,421,,,
"THOMPSON, JASON",,,,,422,,,
"THOMPSON, KLAY",,,,,423,,,
"THOMPSON, TRISTAN",,,,,424,,,
"THORNTON, MARCUS",,,,,425,,,
"TOLLIVER, ANTHONY",,,,,426,,,
"TUCKER, PJ",,,,,427,,,
"TURIAF, RONNY",,,,,428,,,
"TURKOGLU, HEDO",,,,,429,,,
"TURNER, EVAN",,,,,430,,,
"UDOH, EKPE",,,,,431,,,
"UDRIH, BENO",,,,,432,,,
"VALANCIUNAS, JONAS",,,,,433,,,
"VAREJAO, ANDERSON",,,,,434,,,
"VASQUEZ, GREIVIS",,,,,435,,,
"VILLANUEVA, CHARLIE",,,,,436,,,
"VONLEH, NOAH",,,,,437,,,
"VUCEVIC, NIKOLA",,,,,438,,,
"WADE, DWYANE",,,,,439,,,
"WAITERS, DION",,,,,440,,,
"WALKER, HENRY",,,,,441,,,
"WALKER, KEMBA",,,,,442,,,
"WALL, JOHN",,,,,443,,,
"WALLACE, GERALD",,,,,444,,,
"WARREN, TJ",,,,,445,,,
"WATSON, CJ",,,,,446,,,
"WEAR, TRAVIS",,,,,447,,,
"WEBSTER, MARTELL",,,,,448,,,
"WEST, DAVID",,,,,449,,,
"WESTBROOK, RUSSELL",,,,,450,,,
"WHITESIDE, HASSAN",,,,,451,,,
"WHITTINGTON, SHAYNE",,,,,452,,,
"WIGGINS, ANDREW",,,,,453,,,
"WILCOX, CJ",,,,,454,,,
"WILLIAMS, DERON",,,,,455,,,
"WILLIAMS, DERRICK",,,,,456,,,
"WILLIAMS, ELLIOT",,,,,457,,,
"WILLIAMS, LOU",,,,,458,,,
"WILLIAMS, MARVIN",,,,,459,,,
"WILLIAMS, MO",,,,,460,,,
"WILLIAMS, REGGIE",,,,,461,,,
"WILLIAMS, SHAWNE",,,,,462,,,
"WITHEY, JEFF",,,,,463,,,
"WOLTERS, NATE",,,,,464,,,
"WRIGHT, BRANDAN",,,,,465,,,
"WRIGHT, DORELL",,,,,466,,,
"WROTEN, TONY",,,,,467,,,
"YOUNG, JAMES",,,,,468,,,
"YOUNG, NICK",,,,,469,,,
"YOUNG, THADDEUS",,,,,470,,,
"ZELLER, CODY",,,,,471,,,
"ZELLER, TYLER",,,,,472,,,
,,,,,473,,,
,,,,,474,,,
,,,,,475,,,
,,,,,476,,,
,,,,,477,,,
,,,,,478,,,
,,,,,479,,,
,,,,,480,,,
,,,,,481,,,
,,,,,482,,,
,,,,,483,,,
,,,,,484,,,
,,,,,485,,,
,,,,,486,,,
,,,,,487,,,
,,,,,488,,,
,,,,,489,,,
,,,,,490,,,
,,,,,491,,,
,,,,,492,,,
,,,,,493,,,
,,,,,494,,,
,,,,,495,,,
,,,,,496,,,
,,,,,497,,,
,,,,,498,,,
,,,,,499,,,
,,,,,500,,,
,,,,,501,,,
,,,,,502,,,
,,,,,503,,,
,,,,,504,,,
,,,,,505,,,
,,,,,506,,,
,,,,,507,,,
,,,,,508,,,
,,,,,509,,,
,,,,,510,,,
,,,,,511,,,
,,,,,512,,,
,,,,,513,,,
,,,,,514,,,
,,,,,515,,,
,,,,,516,,,
,,,,,517,,,
,,,,,518,,,
,,,,,519,,,
,,,,,520,,,
,,,,,521,,,
,,,,,522,,,
,,,,,523,,,
,,,,,524,,,
,,,,,525,,,
,,,,,526,,,
,,,,,527,,,
,,,,,528,,,
,,,,,529,,,
,,,,,530,,,
,,,,,531,,,
,,,,,532,,,
,,,,,533,,,
,,,,,534,,,
,,,,,535,,,
,,,,,536,,,
,,,,,537,,,
,,,,,538,,,
,,,,,539,,,
,,,,,540,,,
,,,,,541,,,
,,,,,542,,,
,,,,,543,,,
,,,,,544,,,
,,,,,545,,,
,,,,,546,,,
,,,,,547,,,
,,,,,548,,,
,,,,,549,,,
,,,,,550,,,
,,,,,551,,,
,,,,,552,,,
,,,,,553,,,
,,,,,554,,,
,,,,,555,,,
,,,,,556,,,
,,,,,557,,,
,,,,,558,,,
,,,,,559,,,
,,,,,560,,,
,,,,,561,,,
,,,,,562,,,
,,,,,563,,,
,,,,,564,,,
,,,,,565,,,
,,,,,566,,,
,,,,,567,,,
,,,,,568,,,
,,,,,569,,,
,,,,,570,,,
,,,,,571,,,
,,,,,572,,,
,,,,,573,,,
,,,,,574,,,
,,,,,575,,,
,,,,,576,,,
,,,,,577,,,
,,,,,578,,,
,,,,,579,,,
,,,,,580,,,
,,,,,581,,,
,,,,,582,,,
,,,,,583,,,
,,,,,584,,,
,,,,,585,,,
,,,,,586,,,
,,,,,587,,,
,,,,,588,,,
,,,,,589,,,
,,,,,590,,,
,,,,,591,,,
,,,,,592,,,
,,,,,593,,,
,,,,,594,,,
,,,,,595,,,
,,,,,596,,,
,,,,,597,,,
,,,,,598,,,
,,,,,599,,,
,,,,,600,,,
,,,,,601,,,
,,,,,602,,,
,,,,,603,,,
,,,,,604,,,
,,,,,605,,,
,,,,,606,,,
,,,,,607,,,
,,,,,608,,,
,,,,,609,,,
,,,,,610,,,
,,,,,611,,,
,,,,,612,,,
,,,,,613,,,
,,,,,614,,,
,,,,,615,,,
,,,,,616,,,
,,,,,617,,,
,,,,,618,,,
,,,,,619,,,
,,,,,620,,,
,,,,,621,,,
,,,,,622,,,
,,,,,623,,,
,,,,,624,,,
,,,,,625,,,
,,,,,626,,,
,,,,,627,,,
,,,,,628,,,
,,,,,629,,,
,,,,,630,,,
,,,,,631,,,
,,,,,632,,,
,,,,,633,,,
,,,,,634,,,
,,,,,635,,,
,,,,,636,,,
,,,,,637,,,
,,,,,638,,,
,,,,,639,,,
,,,,,640,,,
,,,,,641,,,
,,,,,642,,,
,,,,,643,,,
,,,,,644,,,
,,,,,645,,,
,,,,,646,,,
,,,,,647,,,
,,,,,648,,,
,,,,,649,,,
,,,,,650,,,
,,,,,651,,,
,,,,,652,,,
,,,,,653,,,
,,,,,654,,,
,,,,,655,,,
,,,,,656,,,
,,,,,657,,,
,,,,,658,,,
,,,,,659,,,
,,,,,660,,,
,,,,,661,,,
,,,,,662,,,
,,,,,663,,,
,,,,,664,,,
,,,,,665,,,
,,,,,666,,,
,,,,,667,,,
,,,,,668,,,
,,,,,669,,,
,,,,,670,,,
,,,,,671,,,
,,,,,672,,,
,,,,,673,,,
,,,,,674,,,
,,,,,675,,,
,,,,,676,,,
,,,,,677,,,
,,,,,678,,,
,,,,,679,,,
,,,,,680,,,
,,,,,681,,,
,,,,,682,,,
,,,,,683,,,
,,,,,684,,,
,,,,,685,,,
,,,,,686,,,
,,,,,687,,,
,,,,,688,,,
,,,,,689,,,
,,,,,690,,,
,,,,,691,,,
,,,,,692,,,
,,,,,693,,,
,,,,,694,,,
,,,,,695,,,
,,,,,696,,,
,,,,,697,,,
,,,,,698,,,
,,,,,699,,,
,,,,,700,,,
,,,,,701,,,
,,,,,702,,,
,,,,,703,,,
,,,,,704,,,
,,,,,705,,,
,,,,,706,,,
,,,,,707,,,
,,,,,708,,,
,,,,,709,,,
,,,,,710,,,
,,,,,711,,,
,,,,,712,,,
,,,,,713,,,
,,,,,714,,,
,,,,,715,,,
,,,,,716,,,
,,,,,717,,,
,,,,,720,,,
